Loading weights:   0%|          | 0/830 [00:00<?, ?it/s]Loading weights:  60%|█████▉    | 497/830 [00:00<00:00, 4966.04it/s]Loading weights: 100%|██████████| 830/830 [00:00<00:00, 4300.74it/s]
{"step": 1, "loss": 0.6650241166353226, "grad_norm": 2.6620373725891113, "sft": 0.12779055535793304, "candidate_ce": 0.4741032123565674, "exchange_js": 0.00807228684425354, "p_ab_correct": 0.5640707612037659, "p_ba_correct": 0.6868557929992676, "rehearsal": 0.1101161539554596}
{"step": 4, "loss": 0.715327300131321, "grad_norm": 3.8509020805358887, "sft": 0.10563530027866364, "candidate_ce": 0.5432614088058472, "exchange_js": 0.0009444206953048706, "p_ab_correct": 0.6026840209960938, "p_ba_correct": 0.5598083734512329, "rehearsal": 0.13097234070301056}
{"step": 8, "loss": 1.0723029375076294, "grad_norm": 3.289299249649048, "sft": 0.4408418536186218, "candidate_ce": 0.5169205069541931, "exchange_js": 0.0024531930685043335, "p_ab_correct": 0.6316784024238586, "p_ba_correct": 0.5630053877830505, "rehearsal": 0.22417473793029785}
{"step": 12, "loss": 0.7251806855201721, "grad_norm": 3.308387041091919, "sft": 0.10556001216173172, "candidate_ce": 0.5282197594642639, "exchange_js": 0.0008336901664733887, "p_ab_correct": 0.6100760698318481, "p_ba_correct": 0.5699151158332825, "rehearsal": 0.18113446235656738}
{"step": 16, "loss": 0.6086757890880108, "grad_norm": 5.248283863067627, "sft": 0.11696180701255798, "candidate_ce": 0.4366123080253601, "exchange_js": 0.008196324110031128, "p_ab_correct": 0.5881054401397705, "p_ba_correct": 0.7100813984870911, "rehearsal": 0.09381069988012314}
{"step": 20, "loss": 0.5802570134401321, "grad_norm": 2.735635757446289, "sft": 0.11832154542207718, "candidate_ce": 0.3548252582550049, "exchange_js": 0.005304977297782898, "p_ab_correct": 0.6558709740638733, "p_ba_correct": 0.7498670816421509, "rehearsal": 0.20361045002937317}
{"step": 24, "loss": 0.47681886702775955, "grad_norm": 2.253143548965454, "sft": 0.0158604197204113, "candidate_ce": 0.37583470344543457, "exchange_js": 0.0016186907887458801, "p_ab_correct": 0.660854160785675, "p_ba_correct": 0.7135894894599915, "rehearsal": 0.1670101433992386}
{"step": 28, "loss": 0.7406983226537704, "grad_norm": 2.7909302711486816, "sft": 0.1333589404821396, "candidate_ce": 0.39643368124961853, "exchange_js": 0.0021679922938346863, "p_ab_correct": 0.7042850852012634, "p_ba_correct": 0.6425598859786987, "rehearsal": 0.4174754321575165}
{"step": 32, "loss": 0.7015883773565292, "grad_norm": 4.839709758758545, "sft": 0.23749691247940063, "candidate_ce": 0.41095882654190063, "exchange_js": 0.0027911514043807983, "p_ab_correct": 0.6286841630935669, "p_ba_correct": 0.6992189288139343, "rehearsal": 0.10068294405937195}
{"step": 36, "loss": 0.704385444521904, "grad_norm": 4.387687683105469, "sft": 0.22172757983207703, "candidate_ce": 0.4298105537891388, "exchange_js": 5.3629279136657715e-05, "p_ab_correct": 0.6457126140594482, "p_ba_correct": 0.6555895805358887, "rehearsal": 0.10558733344078064}
{"step": 40, "loss": 0.4836844392120838, "grad_norm": 2.5669636726379395, "sft": 0.047601111233234406, "candidate_ce": 0.3810501992702484, "exchange_js": 0.0005425065755844116, "p_ab_correct": 0.6679946184158325, "p_ba_correct": 0.6986361145973206, "rehearsal": 0.10898128896951675}
{"step": 44, "loss": 0.8556124977767467, "grad_norm": 5.049461364746094, "sft": 0.3854336738586426, "candidate_ce": 0.4215249717235565, "exchange_js": 0.004393495619297028, "p_ab_correct": 0.7019837498664856, "p_ba_correct": 0.6131137013435364, "rehearsal": 0.08852072805166245}
{"step": 48, "loss": 0.44660019874572754, "grad_norm": 2.2719786167144775, "sft": 0.022394416853785515, "candidate_ce": 0.3462294936180115, "exchange_js": 0.00011830776929855347, "p_ab_correct": 0.714383065700531, "p_ba_correct": 0.7003864049911499, "rehearsal": 0.1557159423828125}
{"step": 52, "loss": 0.8923762142658234, "grad_norm": 4.202258110046387, "sft": 0.17210376262664795, "candidate_ce": 0.5099749565124512, "exchange_js": 0.00011909008026123047, "p_ab_correct": 0.5930007696151733, "p_ba_correct": 0.6081156134605408, "rehearsal": 0.420356810092926}
{"step": 56, "loss": 0.45101694762706757, "grad_norm": 2.617717742919922, "sft": 0.01259511336684227, "candidate_ce": 0.35042431950569153, "exchange_js": 0.003059111535549164, "p_ab_correct": 0.6696617007255554, "p_ba_correct": 0.7409175038337708, "rehearsal": 0.16987678408622742}
{"step": 60, "loss": 0.7189526446163654, "grad_norm": 5.5122456550598145, "sft": 0.13589732348918915, "candidate_ce": 0.5358209609985352, "exchange_js": 0.0014651864767074585, "p_ab_correct": 0.6124535202980042, "p_ba_correct": 0.5591376423835754, "rehearsal": 0.09153828769922256}
{"step": 64, "loss": 0.5333537086844444, "grad_norm": 3.3292510509490967, "sft": 0.11402623355388641, "candidate_ce": 0.3479597866535187, "exchange_js": 0.0010580047965049744, "p_ab_correct": 0.6854966878890991, "p_ba_correct": 0.7273787260055542, "rehearsal": 0.14061932265758514}
/root/autodl-tmp/SpotSound-ICASSP/env-conda/lib/python3.10/site-packages/peft/utils/save_and_load.py:295: UserWarning: Could not find a config file in audio-flamingo-3-hf - will assume that the vocabulary was not modified.
  warnings.warn(
{
  "mode": "rbee",
  "steps": 64,
  "learning_rate": 2e-06,
  "temperature": 1.0,
  "method_weight": 1.0,
  "exchange_weight": 1.0,
  "rehearsal_weight": 0.5,
  "margin": 0.2,
  "seed": 0,
  "relation_pairs": 512,
  "rehearsal_examples": 512,
  "trainable_parameters": 20185088,
  "elapsed_seconds": 421.018811551854,
  "peak_gpu_memory_mib": 18643.05859375,
  "final_event": {
    "step": 64,
    "loss": 0.5333537086844444,
    "grad_norm": 3.3292510509490967,
    "sft": 0.11402623355388641,
    "candidate_ce": 0.3479597866535187,
    "exchange_js": 0.0010580047965049744,
    "p_ab_correct": 0.6854966878890991,
    "p_ba_correct": 0.7273787260055542,
    "rehearsal": 0.14061932265758514
  },
  "output_adapter": "/root/autodl-tmp/SpotSound-ICASSP/outputs/reltwin_review_controls_20260912/continue_rbee_seed0/adapter"
}
