contrast,split,source_model,target_model,index,audio,query,delta_iou,source_prediction,target_prediction,ground_truth
exchange_increment,relation,no_exchange_seed0,rbee_seed0,12,esc_test_10001_v1.wav,crying baby followed by keyboard typing,-0.01834663897362665,"[[17.7, 28.3]]","[[17.7, 28.5]]","[[17.65, 28.3]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,19,esc_test_10002_v0.wav,"sea waves, and then rooster",-0.2682926829268293,"[[14.75, 24.75]]","[[14.75, 22.0]]","[[14.75, 25.0]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,58,esc_test_10007_v0.wav,"dog, and then rooster",-0.006128364389233976,"[[1.6, 9.0], [14.75, 16.75], [20.0, 25.0]]","[[1.6, 9.0], [14.75, 17.0], [20.0, 25.0]]","[[1.5, 11.75]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,69,esc_test_10008_v1.wav,vacuum cleaner followed by crying baby,-0.027145284621920118,"[[1.97, 12.67]]","[[1.97, 12.97]]","[[2.0, 12.65]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,76,esc_test_10009_v1.wav,clapping followed by fireworks,-0.028169014084507116,"[[17.65, 28.3]]","[[17.65, 28.0]]","[[17.65, 28.3]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,78,esc_test_10009_v1.wav,"clapping, and then fireworks",-0.028169014084507116,"[[17.65, 28.3]]","[[17.65, 28.0]]","[[17.65, 28.3]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,93,esc_test_10011_v1.wav,vacuum cleaner followed by clapping,-0.0015939147240155993,"[[1.957, 12.659]]","[[1.957, 12.624]]","[[2.0, 12.65]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,109,esc_test_10013_v1.wav,clapping followed by chainsaw,-0.5,"[[2.0, 23.3]]","[[23.3, 28.3]]","[[2.0, 12.65]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,148,esc_test_10018_v1.wav,sea waves followed by vacuum cleaner,-0.031818181818181634,"[[17.65, 28.3]]","[[17.65, 28.65]]","[[17.65, 28.3]]"
exchange_increment,relation,no_exchange_seed0,rbee_seed0,151,esc_test_10018_v1.wav,"vacuum cleaner, and then sea waves",-0.3168835483130834,"[[1.957, 12.659]]","[[1.957, 12.659], [17.659, 22.659]]","[[2.0, 12.65]]"
